CB Link ID,Boro,Community Board,Latitude,Longitude,Link Installation Status,Smallest PPT,Street Address,Kiosk Bearing,Boro ID,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Location
LINK-003480,Manhattan,107,40.794604,-73.969836999999998,A - Link Live,120526,755 AMSTERDAM AVE,311 NW,NY-MN,mn-07-120526,10/7/16,08/01/2016,"(40.794604, -73.969836999999998)"
LINK-003483,Manhattan,107,40.795951000000002,-73.968849000000006,A - Link Live,108008,801 AMSTERDAM AVE,309 NW,NY-MN,mn-07-108008,10/10/16,07/28/2016,"(40.795951000000002, -73.968849000000006)"
LINK-003835,Manhattan,107,40.79674,-73.968644999999995,A - Link Live,120524,201 WEST 100 STREET,189 S,NY-MN,mn-07-120524,10/10/16,07/28/2016,"(40.79674, -73.968644999999995)"
LINK-003871,Manhattan,107,40.796374,-73.968541999999999,A - Link Live,108104,817 AMSTERDAM AVENUE,286 W,NY-MN,mn-07-108104,10/10/16,07/30/2016,"(40.796374, -73.968541999999999)"
LINK-003872,Manhattan,107,40.797181000000002,-73.968230000000005,A - Link Live,120536,836 AMSTERDAM AVENUE,98 E,NY-MN,mn-07-120536,10/10/16,07/30/2016,"(40.797181000000002, -73.968230000000005)"
LINK-003875,Manhattan,107,40.797828000000003,-73.967752000000004,A - Link Live,120535,856 AMSTERDAM AVE,114 SE,NY-MN,mn-07-120535,10/10/16,08/01/2016,"(40.797828000000003, -73.967752000000004)"
LINK-003917,Manhattan,107,40.803578999999999,-73.966916999999995,A - Link Live,120400,2820 BROADWAY,,NY-MN,mn-07-120400,6/29/16,06/17/2016,"(40.803578999999999, -73.966916999999995)"
LINK-003918,Manhattan,109,40.804834999999997,-73.965995000000007,A - Link Live,120396,2858 BROADWAY,,NY-MN,mn-09-120396,7/12/16,06/24/2016,"(40.804834999999997, -73.965995000000007)"
LINK-004661,Manhattan,109,40.827117000000001,-73.949737999999996,A - Link Live,120436,3560 BROADWAY,,NY-MN,mn-09-120436,12/14/16,11/02/2016,"(40.827117000000001, -73.949737999999996)"
LINK-004816,Manhattan,109,40.809964999999998,-73.958888999999999,A - Link Live,120545,1238 AMSTERDAM AVENUE,94 E,NY-MN,mn-09-120545,9/28/16,07/30/2016,"(40.809964999999998, -73.958888999999999)"
LINK-004817,Manhattan,109,40.810163000000003,-73.958743999999996,A - Link Live,142793,1244 AMSTERDAM AVENUE,106 E,NY-MN,mn-09-142793,9/28/16,07/30/2016,"(40.810163000000003, -73.958743999999996)"
