CB Link ID,Boro,Community Board,Latitude,Longitude,Link Installation Status,Smallest PPT,Street Address,Kiosk Bearing,Boro ID,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Location
LINK-010942,Manhattan,109,40.823360999999998,-73.948843999999994,A - Link Live,120570,1661 AMSTERDAM AVENUE,,NY-MN,mn-09-120570,10/31/16,10/14/2016,"(40.823360999999998, -73.948843999999994)"
LINK-011295,Manhattan,112,40.835729000000001,-73.940074999999993,A - Link Live,120469,2048 AMSTERDAM AVENUE,97 E,NY-MN,mn-12-120469,12/2/16,10/22/2016,"(40.835729000000001, -73.940074999999993)"
LINK-011337,Manhattan,111,40.800165535795003,-73.944948449073706,A - Link Live,120180,25 EAST 116 STREET,,NY-MN,mn-11-120180,1/25/17,10/15/2016,"(40.800165535795003, -73.944948449073706)"
LINK-011358,Manhattan,112,40.834974000000003,-73.945436000000001,A - Link Live,120347,3 EDWARD MORGAN PLACE,296 NW,NY-MN,mn-12-120347,12/20/16,11/19/2016,"(40.834974000000003, -73.945436000000001)"
LINK-011425,Bronx,201,40.8195059064684,-73.913731855372703,A - Link Live,123216,3015 3 AVENUE,131 SE,NY-BX,bx-01-123216,12/22/16,10/29/2016,"(40.8195059064684, -73.913731855372703)"
LINK-011438,Manhattan,112,40.833238999999999,-73.945117999999994,A - Link Live,120451,580 WEST 156 STREET,,NY-MN,mn-12-120451,2/1/17,12/20/2016,"(40.833238999999999, -73.945117999999994)"
LINK-011473,Manhattan,110,40.802371089512,-73.956767923040999,A - Link Live,119982,2084 FREDERICK DOUGLASS BLVD,,NY-MN,mn-10-119982,12/14/16,11/17/2016,"(40.802371089512, -73.956767923040999)"
LINK-011474,Manhattan,110,40.803019543123398,-73.956476935429293,A - Link Live,119980,2109 FREDERICK DOUGLASS BLVD,,NY-MN,mn-10-119980,10/19/16,09/17/2016,"(40.803019543123398, -73.956476935429293)"
LINK-011566,Manhattan,106,40.732034830000003,-73.984167279999994,A - Link Live,123801,325 E 14 ST,255 W,NY-MN,mn-06-123801,11/18/16,10/01/2016,"(40.732034830000003, -73.984167279999994)"
LINK-011588,Bronx,205,40.853932999999998,-73.907501999999994,A - Link Live,119613,1 WEST BURNSIDE AVENUE,,,bx-05-119613,1/12/17,11/23/2016,"(40.853932999999998, -73.907501999999994)"
LINK-011877,Bronx,201,40.819567999999997,-73.913387999999998,A - Link Live,123215,3012 3 AVENUE,,NY-BX,bx-01-123215,12/22/16,10/29/2016,"(40.819567999999997, -73.913387999999998)"
LINK-011971,Manhattan,110,40.818897,-73.944659000000001,A - Link Live,119890,2604 FREDERICK DOUGLASS BLVD,,NY-MN,mn-10-119890,10/21/16,10/08/2016,"(40.818897, -73.944659000000001)"
LINK-011980,Manhattan,109,40.829656999999997,-73.948425999999998,A - Link Live,120355,600 WEST 150 STREET,,NY-MN,mn-09-120355,12/16/16,11/14/2016,"(40.829656999999997, -73.948425999999998)"
LINK-011982,Manhattan,105,40.743380999999999,-73.985962999999998,A - Link Live,121626,63 Madison Ave,208 SW,NY-MN,mn-05-121626,12/9/16,11/19/2016,"(40.743380999999999, -73.985962999999998)"
LINK-012026,Manhattan,112,40.835585999999999,-73.939588999999998,A - Link Live,120468,450 WEST 162 STREET,28 NE,NY-MN,mn-12-120468,12/12/16,11/19/2016,"(40.835585999999999, -73.939588999999998)"
LINK-012080,Bronx,201,40.816698227602501,-73.916510849460195,A - Link Live,118956,2882 3 AVENUE,,NY-BX,bx-01-118956,12/22/16,10/22/2016,"(40.816698227602501, -73.916510849460195)"
LINK-012163,Manhattan,111,40.800069999999998,-73.946762000000007,A - Link Live,100200,1403 5 AVENUE,320 NW,NY-MN,mn-11-100200,1/25/17,10/15/2016,"(40.800069999999998, -73.946762000000007)"
LINK-012235,Manhattan,103,40.716648999999997,-73.997647999999998,A - Link Live,133426,178 Canal St,16 N,NY-MN,mn-03-133426,12/14/16,09/14/2016,"(40.716648999999997, -73.997647999999998)"
LINK-012236,Manhattan,108,40.778415289999998,-73.953046470000004,A - Link Live,134746,238 EAST 86 STREET,,NY-MN,mn-08-134746,2/1/17,11/04/2016,"(40.778415289999998, -73.953046470000004)"
LINK-012249,Manhattan,102,40.716869000000003,-73.997578000000004,A - Link Live,133430,183 Canal St,221 SW,NY-MN,mn-02-133430,12/15/16,09/14/2016,"(40.716869000000003, -73.997578000000004)"
LINK-012317,Manhattan,103,40.720482709999999,-73.989033019999994,A - Link Live,137173,145 ORCHARD ST,126 SE,NY-MN,mn-03-137173,12/28/16,11/17/2016,"(40.720482709999999, -73.989033019999994)"
LINK-012510,Manhattan,107,40.774969882223701,-73.981079213700497,A - Link Live,137400,130 WEST 68 STREET,351 N,NY-MN,mn-07-137400,11/23/16,10/22/2016,"(40.774969882223701, -73.981079213700497)"
LINK-012528,Manhattan,106,40.731834390000003,-73.983691050000004,A - Link Live,123285,353 E 14 ST,241 SW,NY-MN,mn-06-123285,2/1/17,11/05/2016,"(40.731834390000003, -73.983691050000004)"
LINK-012858,Manhattan,105,40.745985978052197,-73.9844921948104,A - Link Live,121632,21 EAST 31 STREET,291 W,NY-MN,mn-05-121632,12/9/16,11/19/2016,"(40.745985978052197, -73.9844921948104)"
LINK-012881,Bronx,205,40.853881000000001,-73.908662000000007,A - Link Live,123185,23 WEST BURNSIDE AVE,169 S,NY-BX,bx-05-123185,1/12/17,12/06/2016,"(40.853881000000001, -73.908662000000007)"
LINK-013063,Manhattan,110,40.820796999999999,-73.943286999999998,A - Link Live,119886,2660 8 AVENUE,,NY-MN,mn-10-119886,12/16/16,11/14/2016,"(40.820796999999999, -73.943286999999998)"
LINK-013111,Manhattan,110,40.807778999999996,-73.945252999999994,A - Link Live,123361,83 WEST 125 STREET,,NY-MN,mn-10-123361,12/16/16,11/05/2016,"(40.807778999999996, -73.945252999999994)"
LINK-013160,Manhattan,110,40.802346882908601,-73.956973005146295,A - Link Live,136677,2079 FREDRICK DOUGLASS BLVD,73 E,NY-MN,mn-10-136677,10/31/16,10/08/2016,"(40.802346882908601, -73.956973005146295)"
LINK-013162,Manhattan,110,40.816427732424202,-73.942606440049801,A - Link Live,137182,2321 ADAM CLAYTON POWELL JR BOULEVARD,286 W,NY-MN,mn-10-137182,1/11/17,10/29/2016,"(40.816427732424202, -73.942606440049801)"
LINK-013169,Manhattan,110,40.820122000548203,-73.943776911323297,A - Link Live,137208,2640 FREDERICK DOUGLASS BOULEVARD,305 NW,NY-MN,mn-10-137208,12/16/16,11/17/2016,"(40.820122000548203, -73.943776911323297)"
LINK-013170,Manhattan,110,40.815379,-73.947511000000006,A - Link Live,138120,2491 FREDERICK DOUGLASS BOULEVARD,127 SE,NY-MN,mn-10-138120,11/16/16,10/26/2016,"(40.815379, -73.947511000000006)"
LINK-013171,Manhattan,110,40.810690000000001,-73.950658000000004,A - Link Live,137181,2346 FREDERICK DOUGLASS BLVD,304 NW,NY-MN,mn-10-137181,10/14/16,09/24/2016,"(40.810690000000001, -73.950658000000004)"
LINK-013172,Manhattan,110,40.805615000000003,-73.950557000000003,A - Link Live,137852,1995 ADAM CLAYTON POWELL JR BOULEVARD,,NY-MN,mn-10-137852,1/20/17,12/06/2016,"(40.805615000000003, -73.950557000000003)"
LINK-013228,Manhattan,110,40.809212221332302,-73.948572435450103,A - Link Live,119952,201 WEST 125 STREET,308 NW,NY-MN,mn-10-119952,12/16/16,10/26/2016,"(40.809212221332302, -73.948572435450103)"
LINK-013234,Manhattan,110,40.808815166774899,-73.948108535497497,A - Link Live,120049,166 WEST 125 STREET,104 E,NY-MN,mn-10-120049,1/9/17,11/14/2016,"(40.808815166774899, -73.948108535497497)"
LINK-013237,Bronx,205,40.854764000000003,-73.911439000000001,A - Link Live,119566,1999 UNIVERSITY AVENUE,134 SE,NY-BX,bx-05-119566,1/17/17,12/22/2016,"(40.854764000000003, -73.911439000000001)"
LINK-013313,Bronx,201,40.817160633239702,-73.916239128959702,A - Link Live,118955,2901 3 AVENUE,141 SE,NY-BX,bx-01-118955,12/22/16,10/22/2016,"(40.817160633239702, -73.916239128959702)"
LINK-013346,Manhattan,110,40.816690999999999,-73.946552999999994,A - Link Live,119880,2527 FREDERICK DOUGLASS BLVD,129 SE,NY-MN,mn-10-119880,10/31/16,10/14/2016,"(40.816690999999999, -73.946552999999994)"
LINK-013347,Manhattan,110,40.816298000000003,-73.946557999999996,A - Link Live,119881,2534 FREDERICK DOUGLASS BLVD,300 NW,NY-MN,mn-10-119881,12/2/16,10/29/2016,"(40.816298000000003, -73.946557999999996)"
LINK-013348,Manhattan,110,40.822924,-73.941722999999996,A - Link Live,119893,2730 FREDERICK DOUGLASS BLVD,219 SW,NY-MN,mn-10-119893,10/19/16,10/03/2016,"(40.822924, -73.941722999999996)"
LINK-013349,Manhattan,110,40.809018999999999,-73.948690999999997,A - Link Live,119951,200 DR MARTIN LUTHER KING BLVD,356 N,NY-MN,mn-10-119951,12/16/16,11/14/2016,"(40.809018999999999, -73.948690999999997)"
LINK-013359,Manhattan,110,40.807814,-73.945832999999993,A - Link Live,120024,100 WEST 125 STREET,350 N,NY-MN,mn-10-120024,1/9/17,11/14/2016,"(40.807814, -73.945832999999993)"
LINK-013360,Manhattan,110,40.808939000000002,-73.948010999999994,A - Link Live,120039,163 WEST 125 STREET,169 S,NY-MN,mn-10-120039,12/20/16,10/26/2016,"(40.808939000000002, -73.948010999999994)"
LINK-013361,Manhattan,110,40.822199626644903,-73.942197962703005,A - Link Live,119897,2710 FREDERICK DOUGLASS BLVD,319 NW,NY-MN,mn-10-119897,10/19/16,10/03/2016,"(40.822199626644903, -73.942197962703005)"
LINK-013381,Manhattan,110,40.811324999999997,-73.952053000000006,A - Link Live,120621,320 ST. NICHOLAS AVE,287 W,NY-MN,mn-10-120621,12/20/16,10/29/2016,"(40.811324999999997, -73.952053000000006)"
LINK-013724,Manhattan,106,40.749612999999997,-73.975527999999997,A - Link Live,121529,155 EAST 40 STREET,197 S,NY-MN,mn-06-121529,12/5/16,11/13/2016,"(40.749612999999997, -73.975527999999997)"
LINK-013805,Manhattan,105,40.7543092395846,-73.988324802950501,A - Link Live,121991,550 7 AVE,1 N,NY-MN,mn-05-121991,1/18/17,11/12/2016,"(40.7543092395846, -73.988324802950501)"
LINK-013873,Manhattan,105,40.747903999999998,-73.992744999999999,A - Link Live,122453,341 7 AVENUE,324 NW,NY-MN,mn-05-122453,12/16/16,10/22/2016,"(40.747903999999998, -73.992744999999999)"
LINK-013905,Manhattan,105,40.748775999999999,-73.988681999999997,A - Link Live,122768,899 6 AVENUE,154 SE,NY-MN,mn-05-122768,11/11/16,10/22/2016,"(40.748775999999999, -73.988681999999997)"
LINK-013956,Manhattan,102,40.732393000000002,-73.991399000000001,A - Link Live,123086,799 BROADWAY,71 E,NY-MN,mn-02-123086,11/10/16,10/15/2016,"(40.732393000000002, -73.991399000000001)"
LINK-013965,Manhattan,105,40.735187000000003,-73.989870999999994,A - Link Live,123158,18 UNION SQUARE EAST,272 W,NY-MN,mn-05-123158,11/21/16,10/08/2016,"(40.735187000000003, -73.989870999999994)"
LINK-013970,Manhattan,103,40.7322409032314,-73.985117725066502,A - Link Live,123282,223 2 AVE,226 SW,NY-MN,mn-03-123282,10/25/16,10/01/2016,"(40.7322409032314, -73.985117725066502)"
LINK-013973,Manhattan,106,40.733009510000002,-73.986487150000002,A - Link Live,123287,223 E 14 ST,264 W,NY-MN,mn-06-123287,10/19/16,10/01/2016,"(40.733009510000002, -73.986487150000002)"
LINK-014014,Manhattan,103,40.731878330000001,-73.983838969999994,A - Link Live,123800,344 E 14 ST,33 NE,NY-MN,mn-03-123800,12/16/16,10/16/2016,"(40.731878330000001, -73.983838969999994)"
LINK-014021,Bronx,201,40.818489990639897,-73.914672682060399,A - Link Live,123214,2969 3 AVENUE,142 SE,NY-BX,bx-01-123214,12/28/16,10/22/2016,"(40.818489990639897, -73.914672682060399)"
LINK-014190,Manhattan,102,40.720461,-73.994273000000007,A - Link Live,107871,18 DELANCEY STREET,,NY-MN,mn-03-107871,10/28/16,10/16/2016,"(40.720461, -73.994273000000007)"
LINK-014226,Manhattan,103,40.717111559133897,-73.999113822777105,A - Link Live,108162,210 CANAL ST,38 NE,NY-MN,mn-03-108162,12/15/16,10/19/2016,"(40.717111559133897, -73.999113822777105)"
LINK-014263,Manhattan,103,40.716355,-73.991197999999997,A - Link Live,108607,45 ORCHARD STREET,143 SE,NY-MN,mn-03-108607,1/9/17,11/13/2016,"(40.716355, -73.991197999999997)"
LINK-014316,Manhattan,102,40.734036000000003,-73.991208,A - Link Live,133831,62 EAST 13 STREET,,NY-MN,mn-02-133831,11/10/16,10/15/2016,"(40.734036000000003, -73.991208)"
LINK-014399,Manhattan,110,40.802603460899199,-73.956788330717501,A - Link Live,131051,2097 FREDERICK DOUGLASS BLVD,83 E,NY-MN,mn-10-131051,10/20/16,09/24/2016,"(40.802603460899199, -73.956788330717501)"
LINK-014438,Manhattan,103,40.732968329999999,-73.986433030000001,A - Link Live,123803,226 E 14 ST,,NY-MN,mn-03-123803,10/28/16,10/16/2016,"(40.732968329999999, -73.986433030000001)"
LINK-014444,Manhattan,110,40.815696000000003,-73.947001999999998,A - Link Live,119882,2504 FREDERICK DOUGLASS BLVD,,NY-MN,mn-10-119882,10/25/16,10/03/2016,"(40.815696000000003, -73.947001999999998)"
LINK-014483,Bronx,201,40.817445999999997,-73.915574000000007,A - Link Live,118942,2922 3 AVENUE,322 NW,NY-BX,bx-01-118942,12/28/16,10/22/2016,"(40.817445999999997, -73.915574000000007)"
LINK-014492,Bronx,201,40.817249306921298,-73.915850873884494,A - Link Live,118944,2914 3 AVENUE,330 NW,NY-BX,bx-01-118944,12/22/16,10/22/2016,"(40.817249306921298, -73.915850873884494)"
LINK-014639,Manhattan,107,40.795399000000003,-73.969254000000006,A - Link Live,120525,765 AMSTERDAM AVENUE,,NY-MN,mn-07-120525,11/23/16,10/22/2016,"(40.795399000000003, -73.969254000000006)"
LINK-014642,Manhattan,110,40.804053000000003,-73.952153999999993,A - Link Live,119959,1940 ADAM CLAYTON POWELL JR BOULEVARD,126 SE,NY-MN,mn-10-119959,1/9/17,10/29/2016,"(40.804053000000003, -73.952153999999993)"
LINK-014643,Manhattan,110,40.805951,-73.950755999999998,A - Link Live,119961,2010 ADAM CLAYTON POWELL JR BOULEVARD,107 E,NY-MN,mn-10-119961,1/9/17,10/22/2016,"(40.805951, -73.950755999999998)"
LINK-014649,Manhattan,110,40.816780999999999,-73.942845000000005,A - Link Live,119948,2340 ADAM CLAYTON POWELL JR BOULEVARD,112 E,NY-MN,mn-10-119948,1/9/17,11/05/2016,"(40.816780999999999, -73.942845000000005)"
LINK-014650,Manhattan,110,40.814155999999997,-73.944755999999998,A - Link Live,119944,2260 ADAM CLAYTON POWELL JR BOULEVARD,,NY-MN,mn-10-119944,12/16/16,10/26/2016,"(40.814155999999997, -73.944755999999998)"
LINK-014655,Manhattan,110,40.806246999999999,-73.950090000000003,A - Link Live,120042,2013 ADAM CLAYTON POWELL JR BOULEVARD,,NY-MN,mn-10-120042,1/11/17,10/15/2016,"(40.806246999999999, -73.950090000000003)"
LINK-014662,Manhattan,110,40.822308,-73.942445000000006,A - Link Live,119896,2711 FREDERICK DOUGLASS BOULEVARD,138 SE,NY-MN,mn-10-119896,12/16/16,11/17/2016,"(40.822308, -73.942445000000006)"
