,LAT,LON,borough
0,40.7779130,-73.9716540,Manhattan
1,40.6736940,-73.9447710,Brooklyn
2,40.7246490,-73.7996147,Queens
3,40.8431890,-73.8682797,Bronx
4,40.5774800,-74.1528947,Staten Island
