,LON,LAT,network
1,-73.98736945,40.72940646,Starbucks
2,-73.9918299,40.73004,Starbucks
3,-73.98089961,40.73314202,Starbucks
4,-73.98763999,40.72448239,Starbucks
5,-73.98986,40.719348,Starbucks
6,-73.9785415,40.7368555,Starbucks
7,-73.99539,40.72729,Starbucks
8,-73.98324585,40.73084641,Starbucks
9,-73.997886,40.7224,Starbucks
10,-73.9866562,40.7337265,Starbucks
11,-73.9882869,40.7380304,Starbucks
12,-73.9806059,40.7416612,Starbucks
13,-73.9898412,40.7350211,Starbucks
14,-73.9581579,40.71804669,Starbucks
15,-73.9943,40.729873,Starbucks
16,-73.99037933,40.74157333,Starbucks
17,-73.99142,40.74041,Starbucks
18,-73.999671,40.732963,Starbucks
19,-74.000633,40.721324,Starbucks
20,-74.0027,40.733112,Starbucks
21,-73.99109066,40.73628182,Starbucks
22,-74.0026398,40.7189598,Starbucks
23,-73.98375,40.74426,Starbucks
24,-74.0016917,40.73724392,Starbucks
25,-74.000282,40.726879,Starbucks
26,-73.9867735,40.7400748,Starbucks
27,-74,40.71825,Starbucks
28,-73.993232,40.741843,Starbucks
29,-73.9835245,40.7387839,Starbucks
30,-73.98433,40.74054,Starbucks
31,-74.00509361,40.71988744,Starbucks
32,-73.99195095,40.73132254,Starbucks
33,-74.0025996,40.73077896,Starbucks
34,-73.996664,40.736991,Starbucks
35,-73.99492827,40.74435703,Starbucks
36,-74.0006035,40.7432278,Starbucks
37,-73.99631287,40.72952892,Starbucks
38,-73.97683,40.7438,Starbucks
39,-73.98400116,40.73904419,Starbucks
40,-73.988693,40.743927,Starbucks
41,-74.00303627,40.71572508,Starbucks
42,-74.0022964,40.7388802,Starbucks
43,-73.99216319,40.74358531,Starbucks
44,-74.001,40.74122,Starbucks
45,-74.00454574,40.74175313,Starbucks
46,-74.00495238,40.70711444,Starbucks
47,-74.00038351,40.74301966,Starbucks
48,-74.01055074,40.70959067,Starbucks
49,-74.008087,40.710311,Starbucks
50,-74.00673,40.71163702,Starbucks
51,-74.007413,40.718228,Starbucks
52,-74.011047,40.705276,Starbucks
53,-74.01151859,40.70766893,Starbucks
54,-74.015261,40.711179,Starbucks
55,-74.01109323,40.70876961,Starbucks
56,-74.0067596,40.7061195,Starbucks
57,-74.009765,40.710853,Starbucks
58,-74.007194,40.708347,Starbucks
59,-74.00944376,40.70872268,Starbucks
60,-74.00495238,40.70711444,Starbucks
61,-74.013235,40.70433,Starbucks
62,-74.0026398,40.7189598,Starbucks
63,-74.0091347,40.7136658,Starbucks
64,-74.00942087,40.70870161,Starbucks
65,-74.00509361,40.71988744,Starbucks
66,-74.00608,40.714954,Starbucks
67,-74.00726,40.70479,Starbucks
68,-74.01386053,40.70938224,Starbucks
69,-74.00814128,40.71215384,Starbucks
70,-74.0114975,40.7023125,Starbucks
71,-74.00879319,40.7060834,Starbucks
72,-74.01413978,40.70329275,Starbucks
73,-74.0147441,40.7098309,Starbucks
74,-74.00928877,40.70459381,Starbucks
75,-74.03302632,40.71624126,Starbucks
76,-74.00734149,40.72756156,Starbucks
77,-74.000633,40.721324,Starbucks
78,-74.00303627,40.71572508,Starbucks
79,-74.0127182,40.7028236,Starbucks
80,-73.997886,40.7224,Starbucks
81,-74,40.71825,Starbucks
82,-74.01539616,40.71424045,Starbucks
83,-74.03308587,40.7263187,Starbucks
84,-74.00921702,40.71340084,Starbucks
85,-74.009725,40.706799,Starbucks
86,-74.0086179,40.71076773,Starbucks
87,-73.99399812,40.69454444,Starbucks
88,-73.99080629,40.70265455,Starbucks
89,-74.0025996,40.73077896,Starbucks
90,-73.9918299,40.73004,Starbucks
