"","lon","lat","name","borough","neighborhood"
"524",-73.9810792137005,-73.9810792137005,524,NA,NA
"525",-73.98369105,-73.98369105,525,NA,NA
"526",-73.9844921948104,-73.9844921948104,526,NA,NA
"527",-73.908662,-73.908662,527,NA,NA
"528",-73.943287,-73.943287,528,NA,NA
"529",-73.945253,-73.945253,529,NA,NA
"530",-73.9569730051463,-73.9569730051463,530,NA,NA
"531",-73.9426064400498,-73.9426064400498,531,NA,NA
"532",-73.9437769113233,-73.9437769113233,532,NA,NA
"533",-73.947511,-73.947511,533,NA,NA
"534",-73.950658,-73.950658,534,NA,NA
"535",-73.950557,-73.950557,535,NA,NA
"536",-73.9485724354501,-73.9485724354501,536,NA,NA
"537",-73.9481085354975,-73.9481085354975,537,NA,NA
"538",-73.911439,-73.911439,538,NA,NA
"539",-73.9162391289597,-73.9162391289597,539,NA,NA
"540",-73.946553,-73.946553,540,NA,NA
"541",-73.946558,-73.946558,541,NA,NA
"542",-73.941723,-73.941723,542,NA,NA
"543",-73.948691,-73.948691,543,NA,NA
"544",-73.945833,-73.945833,544,NA,NA
"545",-73.948011,-73.948011,545,NA,NA
"546",-73.942197962703,-73.942197962703,546,NA,NA
"547",-73.952053,-73.952053,547,NA,NA
"548",-73.975528,-73.975528,548,NA,NA
"549",-73.9883248029505,-73.9883248029505,549,NA,NA
"550",-73.992745,-73.992745,550,NA,NA
"551",-73.988682,-73.988682,551,NA,NA
"552",-73.991399,-73.991399,552,NA,NA
"553",-73.989871,-73.989871,553,NA,NA
"554",-73.9851177250665,-73.9851177250665,554,NA,NA
"555",-73.98648715,-73.98648715,555,NA,NA
"556",-73.98383897,-73.98383897,556,NA,NA
"557",-73.9146726820604,-73.9146726820604,557,NA,NA
"558",-73.994273,-73.994273,558,NA,NA
"559",-73.9991138227771,-73.9991138227771,559,NA,NA
"560",-73.991198,-73.991198,560,NA,NA
"561",-73.991208,-73.991208,561,NA,NA
"562",-73.9567883307175,-73.9567883307175,562,NA,NA
"563",-73.98643303,-73.98643303,563,NA,NA
"564",-73.947002,-73.947002,564,NA,NA
"565",-73.915574,-73.915574,565,NA,NA
"566",-73.9158508738845,-73.9158508738845,566,NA,NA
"567",-73.969254,-73.969254,567,NA,NA
"568",-73.952154,-73.952154,568,NA,NA
"569",-73.950756,-73.950756,569,NA,NA
"570",-73.942845,-73.942845,570,NA,NA
"571",-73.944756,-73.944756,571,NA,NA
"572",-73.95009,-73.95009,572,NA,NA
"573",-73.942445,-73.942445,573,NA,NA
