"","lon","lat","name","borough","neighborhood"
"1",-73.80905,40.771229,8,NA,NA
"2",-73.808748,40.769751,8,NA,NA
"3",-73.807508,40.769652,8,NA,NA
"4",-73.805968,40.769536,8,NA,NA
"5",-73.805507,40.770532,8,NA,NA
"6",-73.984222,40.754447,8,NA,NA
"7",-73.9988,40.6943,2,NA,NA
"8",-73.983094,40.754317,8,NA,NA
"9",-73.983964,40.753164,8,NA,NA
"10",-73.984769,40.753689,8,NA,NA
"11",-73.98164,40.752776,8,NA,NA
"12",-73.995382,40.68063,8,NA,NA
"13",-73.995382,40.68063,8,NA,NA
"14",-73.82472,40.75141,8,NA,NA
"15",-73.82284,40.75014,8,NA,NA
"16",-73.81732,40.7437,8,NA,NA
"17",-73.81396,40.74366,8,NA,NA
"18",-73.9903999999,40.7359999997,14,NA,NA
"19",-73.9833000001,40.7537999998,4,NA,NA
"20",-74.0019,40.693,2,NA,NA
"21",-73.81357,40.74549,8,NA,NA
"22",-73.81151,40.74243,8,NA,NA
"23",-73.82121,40.74849,8,NA,NA
"24",-73.80419,40.74381,8,NA,NA
"25",-73.80816,40.74191,8,NA,NA
"26",-73.80342,40.74589,8,NA,NA
"27",-73.80286,40.74726,8,NA,NA
"28",-73.8027,40.74914,8,NA,NA
"29",-73.80506,40.75,8,NA,NA
"30",-73.80719,40.75017,8,NA,NA
"31",-73.8117,40.74761,8,NA,NA
"32",-73.9755,40.6915,2,NA,NA
"33",-73.9462,40.6898,2,NA,NA
"34",-73.81815,40.74756,8,NA,NA
"35",-73.988692,40.742378,8,NA,NA
"36",-73.9883,40.7431,8,NA,NA
"37",-73.987914,40.7411,8,NA,NA
"38",-73.987364,40.741875,8,NA,NA
"39",-73.986906,40.742492,8,NA,NA
"40",-73.98894,40.74148,8,NA,NA
"41",-73.976164,40.663256,8,NA,NA
"42",-73.976292,40.663019,8,NA,NA
"43",-73.9502,40.7201,2,NA,NA
"44",-73.9683,40.6509,2,NA,NA
"45",-73.974,40.7729,2,NA,NA
"46",-73.9709,40.771,2,NA,NA
"47",-73.9771,40.7721,2,NA,NA
"48",-73.9712,40.768,2,NA,NA
"49",-73.976292,40.663094,8,NA,NA
"50",-73.976083,40.663381,8,NA,NA
"51",-73.765364,40.675979,8,NA,NA
"52",-73.770693,40.679472,8,NA,NA
"53",-73.767752,40.679963,8,NA,NA
"54",-73.985075,40.785958,8,NA,NA
"55",-73.99798,40.71025,8,NA,NA
"56",-73.9361,40.8292,2,NA,NA
"57",-73.9443,40.8048,2,NA,NA
"58",-73.99798,40.71025,8,NA,NA
"59",-73.99798,40.71025,8,NA,NA
"60",-73.99798,40.71025,8,NA,NA
"61",-73.99798,40.71025,8,NA,NA
"62",-73.99798,40.71025,8,NA,NA
"63",-73.737718,40.739154,8,NA,NA
"64",-73.736825,40.739353,8,NA,NA
"65",-73.73592,40.739547,8,NA,NA
"66",-73.735041,40.739739,8,NA,NA
"67",-73.73458,40.739909,8,NA,NA
"68",-74.0149,40.7016,2,NA,NA
"69",-74.0168,40.703,2,NA,NA
"70",-73.734311,40.740214,8,NA,NA
"71",-73.825241,40.75797,8,NA,NA
"72",-73.825078,40.75858,8,NA,NA
"73",-73.997656,40.696675,8,NA,NA
"74",-73.997486,40.696989,8,NA,NA
"75",-73.997333,40.697344,8,NA,NA
"76",-73.997183,40.697669,8,NA,NA
"77",-73.996944,40.698103,8,NA,NA
"78",-73.990349,40.696732,8,NA,NA
"79",-74.00089,40.749908,8,NA,NA
"80",-74.0162138359,40.7154881544,11,NA,NA
"81",-73.9862316255,40.605690343,3,NA,NA
"82",-73.9894467672,40.6230645344,3,NA,NA
"83",-74.000711,40.749783,8,NA,NA
"84",-74.002068,40.74827,8,NA,NA
"85",-74.002068,40.74827,8,NA,NA
"86",-74.002068,40.74827,8,NA,NA
"87",-74.002068,40.74827,8,NA,NA
"88",-74.002068,40.74827,8,NA,NA
"89",-74.006961,40.712307,8,NA,NA
"90",-74.009903,40.70935,8,NA,NA
"91",-74.108186,40.618064,8,NA,NA
"92",-73.7946780399,40.7078731318,12,NA,NA
"93",-73.8808642734,40.7129435708,12,NA,NA
"94",-73.8251699639,40.7429309465,12,NA,NA
"95",-73.9348475633,40.8030181614,11,NA,NA
"96",-73.9682243829,40.6723435263,3,NA,NA
"97",-74.0136300012,40.645912124,3,NA,NA
"98",-73.9434510796,40.7942156129,11,NA,NA
"99",-73.966030666,40.6873790941,3,NA,NA
"100",-74.0037002996,40.7071990996,1,NA,NA
"101",-74.0036011004,40.7070998997,1,NA,NA
